"","phylum","class","genus"
"OTU107","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Duganella"
"OTU108","Bacteria;Verrucomicrobia","Bacteria;Verrucomicrobia;Verrucomicrobiae","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter"
"OTU109","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA"
"OTU110","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas"
"OTU111","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;uncultured"
"OTU112","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;NA"
"OTU113","Bacteria;Firmicutes","Bacteria;Firmicutes;Clostridia","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 18"
"OTU114","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Ralstonia"
"OTU115","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Methylophilaceae;Methylovorus"
"OTU116","Bacteria;Chloroflexi","Bacteria;Chloroflexi;Anaerolineae","Bacteria;Chloroflexi;Anaerolineae;SBR1031;NA;NA"
"OTU117","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium"
"OTU118","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus"
"OTU119","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae;NA"
"OTU120","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;NA;NA"
"OTU121","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"
"OTU122","Bacteria;Firmicutes","Bacteria;Firmicutes;Clostridia","Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Helcococcus"
"OTU123","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"
"OTU124","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Asticcacaulis"
"OTU125","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter"
