"","D1a","D1b","D2a","D2b","D4a","D4b","D7a","D7b"
"OTU57",0.000622132358659305,0.000232693426410704,0.000878734622144112,0.00103720282774245,0.00060020406938359,0.00209995800083998,0.0039731229915279,0.00196793002915452
"OTU58",2.59221816108044e-05,0.000610820244328098,0.000369993525113311,0.000327537735076562,0.000210071424284257,0.00248495030099398,0.000438212094653812,0.00102040816326531
"OTU59",0,0,0,0,3.00102034691795e-05,0,0,0.000728862973760933
"OTU60",0.000259221816108044,0.000668993600930774,0.000462491906391638,0.000409422168845702,9.00306104075386e-05,0.000174996500069999,5.8428279287175e-05,3.64431486880466e-05
"OTU61",0,0,0,0,0,0,0.00035056967572305,3.64431486880466e-05
"OTU62",0,0,0,2.72948112563802e-05,6.0020406938359e-05,0.000139997200055999,0.000496640373940987,0.000801749271137026
"OTU63",2.59221816108044e-05,0,9.24983812783276e-05,0,0.000390132645099334,0,0.002337131171487,0
"OTU64",0,0,4.62491906391638e-05,2.72948112563802e-05,9.00306104075386e-05,0.000174996500069999,0.00207420391469471,0.000510204081632653
"OTU65",0.000440677087383674,5.8173356602676e-05,0.00504116177966886,0.00210170046674127,0.00771262229157914,0.00283494330113398,0.00274612912649722,0.00346209912536443
"OTU66",0,0,0,0,3.00102034691795e-05,0,0,0.000182215743440233
"OTU67",5.18443632216087e-05,8.7260034904014e-05,0.000647488668948293,0.000573191036383983,0.00138046935958226,0.00132997340053199,0.00245398773006135,0.00444606413994169
"OTU68",0.000440677087383674,0.000378126817917394,0.00060123947830913,0.000436716980102083,6.0020406938359e-05,3.49993000139997e-05,0.00011685655857435,0
"OTU69",0,0,4.62491906391638e-05,0,0.000120040813876718,0,0.00058428279287175,3.64431486880466e-05
"OTU70",5.18443632216087e-05,0,0.000231245953195819,0.000873433960204165,0,0,0,0
"OTU71",2.59221816108044e-05,0,4.62491906391638e-05,0.000163768867538281,0,0,0,0
"OTU72",0.000907276356378153,0.000465386852821408,0.00457866987327722,0.000382127357589322,0.00468159174119201,0.00601987960240795,0.0109845165059889,0.00612244897959184
"OTU73",0.00127018689892941,0.000959860383944154,0,0,0.000180061220815077,0.000594988100237995,0.000204498977505112,0.000145772594752187
"OTU74",0.000155533089664826,2.9086678301338e-05,0.00097123300342244,0,0.00129043874917472,0.000104997900041999,0.000438212094653812,3.64431486880466e-05
"OTU75",5.18443632216087e-05,0,0.000184996762556655,0.000163768867538281,3.00102034691795e-05,3.49993000139997e-05,2.92141396435875e-05,3.64431486880466e-05
"OTU76",0,0,0,0,0,0,0.000438212094653812,0
"OTU77",2.59221816108044e-05,0,0,0,0.000270091831222616,0,0.00318434122115104,7.28862973760933e-05
"OTU78",2.59221816108044e-05,5.8173356602676e-05,0.00138747571917491,8.18844337691405e-05,0.000330112238160975,0.000314993700125997,0.000438212094653812,0.00153061224489796
"OTU79",2.59221816108044e-05,0,4.62491906391638e-05,5.45896225127603e-05,3.00102034691795e-05,0.000139997200055999,0.0004674262342974,0.000364431486880466
"OTU80",0,0.000203606748109366,0,2.72948112563802e-05,0,3.49993000139997e-05,0,3.64431486880466e-05
"OTU81",0.000855431993156544,5.8173356602676e-05,4.62491906391638e-05,0.000218358490051041,9.00306104075386e-05,0.000209995800083998,0.00122699386503067,0.000182215743440233
"OTU82",2.59221816108044e-05,0,0.000369993525113311,0,0.000120040813876718,0,0,0
"OTU83",0,0,0,0,0.000120040813876718,0.000559988800223996,0.00125620800467426,0.00142128279883382
"OTU84",7.77665448324131e-05,8.7260034904014e-05,0.00143372490981408,0.000518601413871223,0.00270091831222616,0.00122497550048999,0.00122699386503067,0.00309766763848397
"OTU85",0.000103688726443217,0,0.000693737859587457,0.000109179245025521,0.000660224476321949,0.000174996500069999,0.00330119777972539,0.000145772594752187
"OTU86",0.000362910542551261,0.000668993600930774,0.000184996762556655,0.00144662499658815,0.000360122441630154,0.00143497130057399,0.000496640373940987,0.0005466472303207
"OTU87",2.59221816108044e-05,0,0,0.000136474056281901,0,3.49993000139997e-05,0,0
"OTU88",0,0,0,0.000109179245025521,0,0,0,0
"OTU89",0.000129610908054022,0.000378126817917394,0,0.00248382782433059,9.00306104075386e-05,0.00160996780064399,0.00035056967572305,0.00200437317784257
"OTU90",0,0,0,0,0,0,0.00245398773006135,0.00010932944606414
"OTU91",0.00855431993156544,2.9086678301338e-05,0.0286744981962816,0.00117367688402435,0.0529379989196327,0.00164496710065799,0.215366637452527,0.00123906705539359
"OTU92",0,0,0,0,0.000390132645099334,0,0,7.28862973760933e-05
"OTU93",0.0315472950203489,0.0337987201861547,0,5.45896225127603e-05,0.0063021427285277,0.00962480750384992,0.00858895705521472,0.00674198250728863
"OTU94",0,0,0,0.000191063678794661,0,0,0,0
"OTU95",0,0,0,0,0,0.000209995800083998,0,0.00131195335276968
"OTU96",0.000803587629934935,0,0.0108223106095643,0.000354832546332942,0.00636216313546606,0.000384992300153997,0.000525854513584575,0.00156705539358601
"OTU97",2.59221816108044e-05,0,0,0,0,0.000174996500069999,0.000204498977505112,0
"OTU98",2.59221816108044e-05,0,0.00254370548515401,0.00313890329448372,0,0,0,0
"OTU99",0,0,0,0,6.0020406938359e-05,3.49993000139997e-05,0.000613496932515337,0.000255102040816327
"OTU100",0.000751743266713327,0.000407213496218732,0.000878734622144112,0.000818844337691405,0.00492167336894544,0.00181996360072799,0.000876424189307625,0.00287900874635569
"OTU101",2.59221816108044e-05,0,4.62491906391638e-05,0,0.000180061220815077,0,0.000496640373940987,0
"OTU102",2.59221816108044e-05,0,9.24983812783276e-05,5.45896225127603e-05,0.000120040813876718,6.99986000279994e-05,0.000204498977505112,0.000583090379008746
"OTU103",0.000388832724162065,0.00014543339150669,0.000231245953195819,0.000218358490051041,0.000210071424284257,0.000594988100237995,0.00105170902716915,0.000400874635568513
"OTU104",0,0,0,0,3.00102034691795e-05,6.99986000279994e-05,0.000262927256792287,0.00032798833819242
"OTU105",0,0,4.62491906391638e-05,0.000136474056281901,0.000450153052037693,0.000524989500209996,0.00035056967572305,0.000692419825072886
"OTU106",0,0,9.24983812783276e-05,0.000300242923820182,0.000270091831222616,0.000314993700125997,0.0002337131171487,0.000911078717201166
"OTU107",0.00256629597946963,0.000814426992437464,0.0121635371381001,0.0030297240494582,0.0173458976051858,0.0100447991040179,0.0112182296231376,0.0134839650145773
"OTU108",0.000129610908054022,0,0,0,0.000240081627753436,0,0.00198656149576395,3.64431486880466e-05
"OTU109",0,0,0,0.000163768867538281,0,0,0,0
"OTU110",0.00453638178189076,0.00593368237347295,9.24983812783276e-05,0.000109179245025521,0.000690234679791129,0.00118997620047599,0.00122699386503067,0.0010932944606414
"OTU111",0,0,0,0,0,0,0.000438212094653812,0.000400874635568513
"OTU112",0.000181455271275631,5.8173356602676e-05,0.0021737119600407,0.000109179245025521,0.00204069383590421,0.000209995800083998,0.00262927256792287,0.0016399416909621
